;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 28/12/2022 10:10:33
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x0004	0x16810000  	5761
0x0008	0x12C90000  	4809
0x000C	0x12C90000  	4809
0x0010	0x12C90000  	4809
0x0014	0x12C90000  	4809
0x0018	0x12C90000  	4809
0x001C	0x12C90000  	4809
0x0020	0x12C90000  	4809
0x0024	0x12C90000  	4809
0x0028	0x12C90000  	4809
0x002C	0x12C90000  	4809
0x0030	0x12C90000  	4809
0x0034	0x12C90000  	4809
0x0038	0x12C90000  	4809
0x003C	0x12C90000  	4809
0x0040	0x12C90000  	4809
0x0044	0x12C90000  	4809
0x0048	0x12C90000  	4809
0x004C	0x12C90000  	4809
0x0050	0x12C90000  	4809
0x0054	0x12C90000  	4809
0x0058	0x12C90000  	4809
0x005C	0x12C90000  	4809
0x0060	0x12C90000  	4809
0x0064	0x12C90000  	4809
0x0068	0x12C90000  	4809
0x006C	0x12C90000  	4809
0x0070	0x12C90000  	4809
0x0074	0x12C90000  	4809
0x0078	0x12C90000  	4809
0x007C	0x12C90000  	4809
0x0080	0x12C90000  	4809
0x0084	0x12C90000  	4809
0x0088	0x12C90000  	4809
0x008C	0x12C90000  	4809
0x0090	0x12C90000  	4809
0x0094	0x12C90000  	4809
0x0098	0x12C90000  	4809
0x009C	0x12C90000  	4809
0x00A0	0x12C90000  	4809
0x00A4	0x12C90000  	4809
0x00A8	0x12C90000  	4809
0x00AC	0x12C90000  	4809
0x00B0	0x12C90000  	4809
0x00B4	0x12C90000  	4809
0x00B8	0x12C90000  	4809
0x00BC	0x12C90000  	4809
0x00C0	0x12C90000  	4809
0x00C4	0x12C90000  	4809
0x00C8	0x12C90000  	4809
0x00CC	0x12C90000  	4809
0x00D0	0x12C90000  	4809
0x00D4	0x12C90000  	4809
0x00D8	0x12C90000  	4809
0x00DC	0x12C90000  	4809
0x00E0	0x12C90000  	4809
0x00E4	0x12C90000  	4809
0x00E8	0x12C90000  	4809
0x00EC	0x12C90000  	4809
0x00F0	0x12C90000  	4809
0x00F4	0x12C90000  	4809
0x00F8	0x12C90000  	4809
0x00FC	0x12C90000  	4809
0x0100	0x12C90000  	4809
0x0104	0x12C90000  	4809
0x0108	0x12C90000  	4809
0x010C	0x12C90000  	4809
0x0110	0x12C90000  	4809
0x0114	0x12C90000  	4809
0x0118	0x12C90000  	4809
0x011C	0x12C90000  	4809
0x0120	0x12C90000  	4809
0x0124	0x12C90000  	4809
0x0128	0x12C90000  	4809
0x012C	0x12C90000  	4809
0x0130	0x12C90000  	4809
0x0134	0x12C90000  	4809
0x0138	0x12C90000  	4809
0x013C	0x12C90000  	4809
0x0140	0x12C90000  	4809
0x0144	0x12C90000  	4809
0x0148	0x12C90000  	4809
0x014C	0x12C90000  	4809
0x0150	0x12C90000  	4809
0x0154	0x12C90000  	4809
0x0158	0x12C90000  	4809
0x015C	0x12C90000  	4809
0x0160	0x12C90000  	4809
0x0164	0x12C90000  	4809
0x0168	0x12C90000  	4809
0x016C	0x12C90000  	4809
0x0170	0x12C90000  	4809
0x0174	0x12C90000  	4809
0x0178	0x12C90000  	4809
0x017C	0x12C90000  	4809
0x0180	0x12C90000  	4809
0x0184	0x12C90000  	4809
; end of ____SysVT
_main:
;MyProject.c, 58 :: 		void main() {
0x1680	0xF7FFFE4E  BL	4896
0x1684	0xF7FFFE24  BL	4816
0x1688	0xF000FA36  BL	6904
0x168C	0xF7FFFE36  BL	4860
0x1690	0xF000F9E4  BL	6748
;MyProject.c, 59 :: 		GPIO_Digital_Input(&GPIOA_IDR, _GPIO_PINMASK_ALL);                                       //Buton
0x1694	0xF64F71FF  MOVW	R1, #65535
0x1698	0x48AC    LDR	R0, [PC, #688]
0x169A	0xF7FFFBBF  BL	_GPIO_Digital_Input+0
;MyProject.c, 60 :: 		GPIO_Digital_Output(&GPIOD_ODR, _GPIO_PINMASK_1 | _GPIO_PINMASK_2 | _GPIO_PINMASK_3);    //LED
0x169E	0xF240010E  MOVW	R1, #14
0x16A2	0x48AB    LDR	R0, [PC, #684]
0x16A4	0xF7FFFA8E  BL	_GPIO_Digital_Output+0
;MyProject.c, 61 :: 		GPIO_Digital_Output(&GPIOE_ODR, _GPIO_PINMASK_9);                                        //LCD
0x16A8	0xF2402100  MOVW	R1, #512
0x16AC	0x48A9    LDR	R0, [PC, #676]
0x16AE	0xF7FFFA89  BL	_GPIO_Digital_Output+0
;MyProject.c, 62 :: 		GPIOE_ODR.B9=0;
0x16B2	0x2100    MOVS	R1, #0
0x16B4	0xB249    SXTB	R1, R1
0x16B6	0x48A8    LDR	R0, [PC, #672]
0x16B8	0x6001    STR	R1, [R0, #0]
;MyProject.c, 64 :: 		G_Led = 0, Y_Led = 0, R_Led =0 ;
0x16BA	0x48A8    LDR	R0, [PC, #672]
0x16BC	0x6001    STR	R1, [R0, #0]
0x16BE	0x48A8    LDR	R0, [PC, #672]
0x16C0	0x6001    STR	R1, [R0, #0]
0x16C2	0x48A8    LDR	R0, [PC, #672]
0x16C4	0x6001    STR	R1, [R0, #0]
;MyProject.c, 65 :: 		Lcd_Init();
0x16C6	0xF7FFFA8B  BL	_Lcd_Init+0
;MyProject.c, 66 :: 		Lcd_Cmd(_LCD_CLEAR);
